iter	Passed	Remaining
405	6255	9152
406	6270	9136
407	6283	9117
408	6296	9098
409	6312	9084
410	6325	9064
411	6340	9048
412	6356	9034
413	6371	9019
414	6387	9004
415	6402	8988
416	6416	8971
417	6431	8954
418	6446	8938
419	6458	8919
420	6472	8901
421	6485	8883
422	6498	8864
423	6512	8847
424	6526	8830
425	6540	8813
426	6557	8799
427	6568	8778
428	6584	8763
429	6597	8745
430	6612	8729
431	6624	8710
432	6639	8694
433	6654	8677
434	6668	8661
435	6683	8645
436	6695	8626
437	6710	8610
438	6723	8592
439	6738	8576
440	6752	8559
441	6767	8543
442	6782	8527
443	6797	8512
444	6811	8495
445	6824	8477
446	6839	8461
447	6852	8442
448	6865	8424
449	6879	8408
450	6895	8393
451	6909	8377
452	6925	8362
453	6940	8346
454	6958	8334
455	6973	8319
456	6986	8301
457	7000	8284
458	7012	8265
459	7025	8247
460	7040	8231
461	7054	8215
462	7069	8199
463	7084	8183
464	7097	8165
465	7112	8149
466	7127	8135
467	7141	8118
468	7155	8101
469	7170	8086
470	7184	8069
471	7199	8053
472	7214	8038
473	7227	8020
474	7240	8002
475	7256	7988
476	7272	7973
477	7288	7958
478	7302	7942
479	7316	7926
480	7331	7910
481	7343	7892
482	7357	7875
483	7373	7861
484	7385	7842
485	7400	7826
486	7414	7810
487	7427	7792
488	7442	7777
489	7456	7761
490	7471	7745
491	7486	7729
492	7499	7712
493	7516	7699
494	7531	7683
495	7546	7667
496	7559	7650
497	7575	7636
498	7589	7619
499	7604	7604
500	7619	7588
501	7631	7571
502	7647	7556
503	7661	7539
504	7674	7522
505	7688	7506
506	7702	7490
507	7716	7473
508	7731	7457
509	7744	7440
510	7758	7424
511	7773	7408
512	7786	7392
513	7802	7377
514	7816	7361
515	7831	7345
516	7847	7331
517	7861	7315
518	7874	7298
519	7888	7281
520	7903	7266
521	7918	7251
522	7933	7236
523	7946	7218
524	7959	7201
525	7974	7186
526	7987	7169
527	8001	7152
528	8016	7137
529	8030	7121
530	8044	7105
531	8060	7090
532	8073	7073
533	8087	7057
534	8102	7042
535	8116	7026
536	8132	7011
537	8148	6997
538	8162	6981
539	8176	6965
540	8191	6949
541	8203	6932
542	8219	6917
543	8234	6902
544	8250	6888
545	8264	6871
546	8279	6856
547	8294	6841
548	8307	6824
549	8321	6808
550	8337	6793
551	8352	6778
552	8366	6762
553	8383	6748
554	8396	6731
555	8410	6716
556	8425	6701
557	8438	6684
558	8452	6668
559	8468	6654
560	8482	6638
561	8497	6622
562	8512	6607
563	8528	6592
564	8541	6576
565	8557	6561
566	8570	6545
567	8587	6531
568	8601	6515
569	8615	6499
570	8629	6483
571	8643	6467
572	8660	6453
573	8673	6436
574	8686	6420
575	8701	6405
576	8715	6389
577	8729	6373
578	8744	6358
579	8758	6342
580	8772	6326
581	8787	6311
582	8803	6296
583	8817	6280
584	8832	6265
585	8845	6249
586	8858	6232
587	8872	6216
588	8886	6201
589	8901	6185
590	8915	6170
591	8930	6154
592	8945	6139
593	8959	6124
594	8973	6107
595	8988	6093
596	9004	6078
597	9017	6061
598	9034	6048
599	9047	6031
600	9063	6017
601	9086	6007
602	9103	5993
603	9118	5978
604	9133	5963
605	9153	5951
606	9168	5936
607	9183	5920
608	9198	5905
609	9211	5889
610	9223	5872
611	9238	5856
612	9250	5840
613	9265	5824
614	9279	5809
615	9293	5793
616	9311	5779
617	9327	5765
618	9341	5749
619	9355	5734
620	9370	5718
621	9385	5703
622	9399	5688
623	9413	5672
624	9429	5657
625	9441	5640
626	9454	5624
627	9468	5608
628	9483	5593
629	9495	5576
630	9510	5561
631	9524	5545
632	9537	5529
633	9552	5514
634	9566	5498
635	9579	5482
636	9595	5467
637	9610	5452
638	9629	5440
